Page,Current title,Proposed title,Current meta description,Proposed meta description,Action / decision needed
/q2-revenue-machine,Q2 Revenue Machine | Sales & Marketing System for Office Technology | The Quantum Leap,Q2: Revenue Machine for Office Technology | Quantum,"Q2 Revenue Machine: HubSpot-based RevOps framework purpose-built for office equipment dealers. Systemize, optimize, automate revenue.",(keep),"Trim title (was 86ch, truncates in Google)"
/sales-blitz-playbook,Sales Blitz Playbook | Outbound Best Practices Guide | The Quantum Leap,Sales Blitz Playbook | Quantum Business Solutions,"The definitive Sales Blitz Playbook from Quantum. RevEfficiency 5-tier model, disposition framework, and call priority methodology for B2B sales.",(keep),Trim title
/sales-hiring-playbook,Sales Hiring Playbook | Quantum Business Solutions,(keep),"Quantum's complete framework for sourcing, interviewing, hiring, and onboarding sales talent — Hire to Retire process, candidate fit, structured interviews, mutual commitments, 90-day ramp.","Free Sales Hiring Playbook: score candidates, structure comp, and hire reps who actually produce — the process Quantum uses with clients.",Trim meta
/services/onboarding,Standard HubSpot Onboarding — 25% Off | Quantum Business Solutions,HubSpot Onboarding — 25% Off Published Rates | Quantum,,"Guided HubSpot onboarding from a Diamond Solutions Partner at 25% off HubSpot's published rates. Same scope, same outcomes, lower price.","PROTECTED PAGE: metadata-only edit, needs your OK"
/webinar-next-frontier-of-marketing,AI-Powered Strategies and Techniques | Quantum Business Solutions,(keep),"Hosted by Quantum Business Solutions with Guest Speaker, Pauul Roetzer, founder and CEO of Marketing AI Institute, and founder of Ready North (formerly PR 20/20), HubSpot’s first partner agency. You’ll come away with: A clear understanding of marketing AI. Tips on how to identify quick-win pilot projects. And, steps to solve marketing challenges more efficiently.
","Webinar replay: The Next Frontier of Marketing — how AI and automation reshape B2B demand generation, with practical next steps.",Trim meta (was 365ch)
/website-services,Website Services | Growth-Driven Design on HubSpot CMS | The Quantum Leap,B2B Website Design on HubSpot | Quantum Business,"Growth-driven HubSpot CMS website design that launches in 60 days, then optimizes monthly using real conversion data. Quantum Business Solutions.",(keep),Trim title
/zoominfo,Quantum Business Partners,ZoomInfo Services & Consulting | Quantum Business,,"ZoomInfo consulting, administration, and managed services from a certified partner. Get full value from your ZoomInfo investment.","Add meta (was missing), lengthen title"
/ibpi-0,Quantum Business Solutions for IBPI and BTA members ,(keep),Quantum Business Solutions for IBPI and BTA members ,(keep),ARCHIVE: empty junk duplicate (0 words)
/cas,Connect And Sell | Quantum Business Solutions,ConnectAndSell Managed Services | Quantum,"Make ConnectAndSell work harder for your company. Quantum helps clients drive revenue faster with integrated, automated sales and marketing solutions. ",(keep),DECIDE: differentiate from /connect-and-sell or 301 one of them
/connect-and-sell,Connect And Sell | Quantum Business Solutions,ConnectAndSell + HubSpot Optimization | Quantum,"Make ConnectAndSell work harder for your company. Quantum helps clients drive revenue faster with integrated, automated sales and marketing solutions. ",(keep),DECIDE: pairs with /cas
/zoominfohelp,ZoomInfo Help | Quantum Business Solutions,ZoomInfo Help & Admin Services | Quantum,"Maximize your ZoomInfo investment with help from a top-rated partner: data strategy, HubSpot integration, and signal-based outreach playbooks.",(keep),DECIDE: pairs with /zoominfo-help — 301 or differentiate
/zoominfo-help,ZoomInfo Help | Quantum Business Solutions,ZoomInfo Help: Get More From Your Investment | Quantum,Want more from your investment in ZoomInfo? Let one of their top-rated partners guide your team to success. ,(keep),DECIDE: pairs with /zoominfohelp
/services/hubspot-admin-services,HubSpot Admin Services | Quantum Business Solutions,HubSpot Admin Services | Quantum Business Solutions,"HubSpot administration as an outsourced service: workflow tuning, list hygiene, integration upkeep, and reporting. Quantum Business Solutions.",(keep),DECIDE: pairs with /services/hubspot-admin-as-a-services — 301 one
/services/hubspot-admin-as-a-services,HubSpot Admin Services | Quantum Business Solutions,HubSpot Admin as a Service | Quantum Business,"HubSpot Admin as a Service puts the skills and experience of our entire team at your service, and the cost is less than what you'd pay for an in-house admin.",(keep),DECIDE: pairs with above
/themes/clean-all-modules,Clean Theme — All Modules,(keep),Every module in the Quantum Clean theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/converter-all-modules,Converter Theme — All Modules,(keep),Every module in the Quantum Converter theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/flagship-all-modules,Flagship Theme — All Modules,(keep),Every module in the Quantum Flagship theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/journal-all-modules,Journal Theme — All Modules,(keep),Every module in the Quantum Journal theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/paper-all-modules,Paper Theme — All Modules,(keep),Every module in the Quantum Paper theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/press-all-modules,Press Theme — All Modules,(keep),Every module in the Quantum Press theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/showcase-all-modules,Showcase Theme — All Modules,(keep),Every module in the Quantum Showcase theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/signal-all-modules,Signal Theme — All Modules,(keep),Every module in the Quantum Signal theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
/themes/void-all-modules,Void Theme — All Modules,(keep),Every module in the Quantum Void theme.,(keep),NOINDEX: theme demo page — hide from search/AI crawlers instead of optimizing
