Page,URL,Pricing found
Quantum Business Solutions for IBPI and BTA m,https://www.thequantumleap.business/ibpi,"$1,000  |  $1,200  |  $1,500  |  $1,500/month  |  $11,950  |  $15,000  |  $2,000  |  $2,500  |  $3,000/month  |  $3,500  |  $400  |  $5,000  |  $500  |  $7,500  |  $750  |  1,500/month  |  3,000/month"
Quantum Business Solutions for IBPI and BTA m,https://www.thequantumleap.business/ibpi-0,"$1,000  |  $1,200  |  $1,500  |  $1,500/month  |  $11,950  |  $15,000  |  $2,000  |  $2,500  |  $3,000/month  |  $3,500  |  $400  |  $5,000  |  $500  |  $7,500  |  $750  |  1,500/month  |  3,000/month"
IBPI End Year Offer,https://www.thequantumleap.business/ibpi-sales-marketing-2025,"$2,500  |  $2,750  |  $2,950  |  $5,000"
LinkedInRevGen,https://www.thequantumleap.business/linkedinrevgen,$97
Marketing Services,https://www.thequantumleap.business/marketing-services,"$1,495  |  $1,495/month  |  $1,995  |  $2,995  |  $3,495  |  $3,995  |  $495  |  $595  |  $995  |  1,495/month"
Outbound Sales,https://www.thequantumleap.business/outbound-sales,"$2,500  |  $3,495  |  $595"
Pricing - Quantum Business Solutions,https://www.thequantumleap.business/pricing,"$1,000  |  $1,250  |  $1,495  |  $1,500  |  $1,995  |  $1,995/month  |  $10,000  |  $14,950  |  $15,995  |  $2,000  |  $2,000/month  |  $2,500  |  $24,995  |  $250  |  $3,000  |  $3,000/month  |  $3,495  |  $3,995  |  $350  |  $4,000  |  $4,995  |  $497  |  $5,000  |  $5,000/month  |  $595  |  $7,500  |  $9,995  |  1,995/month  |  2,000/month  |  3,000/month  |  5,000/month"
Q2: The Revenue Machine for Copier Dealers,https://www.thequantumleap.business/q2-revenue-machine,"$14,950  |  $29,950  |  $50  |  $500"
Quantum AI Demo,https://www.thequantumleap.business/quantum-ai-demo,"$1,500  |  $15,000  |  $2,000  |  $25,000  |  $4,000  |  $7,000  |  $7,500"
Group Coaching,https://www.thequantumleap.business/quantumcoaching,$197
Revenue Growth - Quantum,https://www.thequantumleap.business/revenue-growth,$1M  |  $50M
Sales as a Service,https://www.thequantumleap.business/sale,"$2,000/mo  |  $9,950/mo"
Sales Blitz Playbook,https://www.thequantumleap.business/sales-blitz-playbook,$4M  |  $5M
Sales Hiring Playbook,https://www.thequantumleap.business/sales-hiring-playbook,"$10,000  |  $100,000  |  $199/mo  |  $99/mo"
Go-To-Market Program,https://www.thequantumleap.business/services/go-to-market-program,"$2,500  |  $3,495  |  $595"
HubSpot Admin as a Service,https://www.thequantumleap.business/services/hubspot-admin-as-a-services,"$2,000  |  $3,000  |  $350  |  $5,000"
Onboarding,https://www.thequantumleap.business/services/onboarding,"$1,125  |  $1,500  |  $1,750  |  $175/hour  |  $2,000  |  $2,250  |  $2,625  |  $200/hour  |  $295  |  $3,000  |  $3,500  |  $375  |  $5,250  |  $500  |  $7,000  |  $750  |  $875  |  25% Off  |  25% off"
Website Design,https://www.thequantumleap.business/website-services,"$4,950 | $9,950 | $14,950 | $7,500 (Quantum Brand Breakthrough)"
BPCA,https://www.thequantumleap.business/world-class-0,30% off
[LP] ZoomInfo + HubSpot Revenue Accelerator —,https://www.thequantumleap.business/zi-accelerator-csm,"$5,000  |  $5K"
ZoomInfo as a Service - Quantum,https://www.thequantumleap.business/zoominfo-as-a-service,"$2,000/mo  |  $2,000/month  |  $3,500/mo  |  $3,500/month  |  $5,000/mo  |  $5,000/month  |  2,000/month  |  3,500/month  |  5,000/month"
ZoomInfo as a Service,https://www.thequantumleap.business/zoominfo-as-a-service-old-1771702762051,"$2,000/mo  |  $3,500/mo  |  $5,000/mo"
Tech Services: ZoomInfo Help,https://www.thequantumleap.business/zoominfo-help,"$1,995  |  $2,995  |  $4,995  |  $995"
ZoomInfo Reps: Limited-Time Package,https://www.thequantumleap.business/zoominfo-package,"$2,500  |  30% Off  |  30% discount"
"LP (ZI Reps, Not prepaid): ZoomInfo Success S",https://www.thequantumleap.business/zoominfo-success-starter,"$1,000"
HubSpot Portal Audit (NEW),https://www.thequantumleap.business/hubspot-portal-audit,"$1,497  |  $7,500  |  from $3,500"
HubSpot Training (NEW),https://www.thequantumleap.business/hubspot-training,"$1,497  |  $497/mo  |  $497  |  $1,500"
RevOps as a Service (NEW),https://www.thequantumleap.business/revops-services,"$3,500  |  $2,000  |  $1,500  |  $5,000  |  $2,000/mo  |  $3,000/mo  |  $5,000/mo"
Fractional CRO/CMO/CSO (NEW),https://www.thequantumleap.business/fractional-leadership,"$4,000  |  $3,997  |  $5,997  |  $8,997  |  $7,500/mo  |  Custom  |  $3,495/mo"
Pricing - master page (UPDATED),https://www.thequantumleap.business/pricing,added sections: #audit #hubspot-training #revops #fractional
